question,answer,prediction,precision,recall,f1,hash
请问神里绫人的性别是什么？,神里绫人是男性,神里绫人是男性,0.9999999403953552,0.9999999403953552,0.9999999403953552,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
托马先生是男孩还是女孩？,托马是男性,托马是男性,1,1,1,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
"达达利亚先生,来自何方?",达达利亚来自至冬,达达利亚来自至冬,0.9999998807907104,0.9999998807907104,0.9999998807907104,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
魈是什么性格的人?,"魈,守护他人，有责任担当",魈，守护者与责任,0.7874596118927002,0.7422471642494202,0.7641852498054504,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
绮良良女士是做什么工作的?,绮良良是快递公司狛荷屋的快递员,绮良良是快递公司狛荷屋的快递员,1,1,1,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
久岐忍的元素是什么?,雷元素,"久岐忍,雷元素",0.6531535387039185,0.806582510471344,0.7218047380447388,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
迪希雅用的是什么元素?,火元素,迪希雅用火元素,0.6688436269760132,0.8813347816467285,0.7605255842208862,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
五郎先生是什么性格?,"五郎,士兵们的好大哥","五郎,士兵们的好大哥",0.9999999403953552,0.9999999403953552,0.9999999403953552,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
赛诺的性格特点是啥?,严格执法，保护教令院的规矩,"赛诺,严格执法，保护教令院的规矩",0.8930255174636841,0.9652485847473145,0.9277336001396179,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
提纳里先生是男孩还是女孩？,提纳里是男性,提纳里是男性,0.9999999403953552,0.9999999403953552,0.9999999403953552,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
"你好,请问珐露珊女士是做什么工作的?",珐露珊是杰出学者，古典机关术学科奠基人之一,珐露珊是杰出学者，古典机关术学科奠基人之一,1,1,1,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
莱欧斯利先生的工作是什么?,莱欧斯利是掌管监狱梅洛彼得堡的公爵,莱欧斯利是掌管监狱梅洛彼得堡的公爵,1,1,1,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
绮良良的性格特点是啥?,活泼可爱的猫耳少女,好，绮良良，孩子般的温柔与纯粹,0.5812904238700867,0.6151376366615295,0.5977352857589722,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
莱依拉的职责是什么?,莱依拉是须弥教令院明论派在读学生,"莱依拉是须弥教令院明论派在读学生
莱依拉是须弥教令院明论派在读学生",0.8690222501754761,0.8821383714675903,0.8755311965942383,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
"达达利亚先生,是什么性别呢?",达达利亚是男性,"达达利亚是男性
达达利亚是化神之一",0.759075403213501,0.8780041337013245,0.8142199516296387,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
提纳里先生是什么性格?,"提纳里,热心的护林员","提纳里,热心的护林员
提纳里,热心的护林员",0.8592124581336975,0.880459189414978,0.8697060346603394,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
刻晴是什么性格?,"刻晴,雷厉风行，走在时代最前沿，亲手开创新的道路","刻晴,雷厉风行，走在时代最前沿",0.9592300653457642,0.8317887783050537,0.890975296497345,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
"你好,请问八重神子女士的性格特点是什么?","八重神子,兼具智慧与美貌的大姐姐","八重神子,兼具智慧与美貌的大姐姐",1,1,1,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
神里绫人会用哪种元素?,水元素,神里绫人，水元素,0.6346198916435242,0.8415113687515259,0.7235669493675232,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
"琴女士,她是男孩还是女孩？",琴是女性,琴是女性,1,1,1,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
"你好,请问纳西妲的性格特点是什么?","纳西妲,宁静、明智、智慧、纯净","纳西妲,宁静、明智、智慧、纯净",1.0000001192092896,1.0000001192092896,1.0000001192092896,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
"安柏女士,来自何方?",安柏来自蒙德,"安柏来自蒙德
安柏来自蒙德
安柏来自蒙德",0.8169819116592407,0.8748565912246704,0.8449293375015259,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
莱欧斯利会用哪种元素?,冰元素,"莱欧斯利使用冰元素
冰元素",0.7079011797904968,0.8668555617332458,0.7793560028076172,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
枫原万叶先生是什么性格的人?,"枫原万叶,身经百战，有不为人所知的过往","枫原万叶,身经百战，有不为人所知的过往",0.9999999403953552,0.9999999403953552,0.9999999403953552,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
柯莱是什么身份?,柯莱是化城郭见习巡林员,柯莱是化城郭见习巡林员,1,1,1,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
夏沃蕾女士是什么性别？,夏沃蕾是女性,夏沃蕾是女性,1.0000001192092896,1.0000001192092896,1.0000001192092896,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
"你好,请问阿贝多先生来自哪里?",阿贝多来自蒙德,蒙德,0.8466780185699463,0.6036216616630554,0.7047828435897827,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
早柚女士会用哪种元素?,风元素,风元素,1.0000001192092896,1.0000001192092896,1.0000001192092896,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
提纳里是什么性格?,热心的护林员,"提纳里,热心的护林员
热心的护林员，对小朋友保持距离",0.6783514022827148,0.8529839515686035,0.7557101845741272,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
"你好,请问卡维先生是做什么工作的?",卡维是破产的建筑设计师,卡维是破产的建筑设计师,1,1,1,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
烟绯的性格是什么?,"烟绯,熟悉璃月法律，追求自由","烟绯,熟悉璃月法律，追求自由",1,1,1,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
迪卢克是男性还是女性？,迪卢克是男性,迪卢克是男性,1,1,1,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
瑶瑶女士从哪里来的?,瑶瑶来自璃月,瑶瑶来自璃月,1,1,1,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
"你好,安柏女士使用哪种元素?",火元素,安柏使用火元素,0.7156432867050171,0.9144445657730103,0.8029212951660156,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
"坎蒂丝女士,来自何方?",坎蒂丝来自须弥,"坎蒂丝来自须弥
坎蒂丝来自须弥
坎蒂丝来自须弥",0.8115853071212769,0.870165228843689,0.8398550152778625,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
香菱能控制什么元素力?,香菱控制火元素,香菱控制火元素,1,1,1,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
云堇用的是什么元素?,岩元素,云堇使用岩元素,0.6976379156112671,0.893118143081665,0.7833672761917114,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
阿贝多来自哪个国家?,阿贝多来自蒙德,蒙德,0.8466780185699463,0.6036216616630554,0.7047828435897827,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
芭芭拉的性格是什么?,"芭芭拉,用努力与美好心情治愈人们","芭芭拉,用努力与美好心情治愈人们",0.9999998807907104,0.9999998807907104,0.9999998807907104,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
请问云堇的身份是什么？,云堇是和裕茶馆、云翰社当家花旦,云堇是摇滚艺术者,0.7048449516296387,0.6383146047592163,0.6699320673942566,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
凯亚先生会用哪种元素?,冰元素,"凯亚用冰元素
冰元素",0.7591143846511841,0.8868879675865173,0.8180419206619263,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
重云先生是做什么工作的?,重云是驱邪家、游走方士,重云是驱邪家、游走方士,1,1,1,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
提纳里什么元素?,草元素,提纳里草元素,0.7181054949760437,0.9232503175735474,0.807857871055603,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
魈是什么性格?,守护他人，有责任担当,"魈,守护他人，有责任担当",0.9171488285064697,0.9771976470947266,0.9462215304374695,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
"申鹤女士,她是什么性别？",申鹤是女性,申鹤是女性,1,1,1,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
多莉女士会用哪种元素?,雷元素,多莉使用冰元素,0.6028328537940979,0.7159939408302307,0.654558539390564,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
珊瑚宫心海是男人还是女人？,珊瑚宫心海是女性,珊瑚宫心海是女性,1,1,1,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
"娜维娅女士,她是什么性别？",娜维娅是女性,娜维娅是女性,1,1,1,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
菲谢尔女士是做什么工作的?,菲谢尔是断罪之皇女，有伙伴奥兹,菲谢尔是断罪之皇女，需要执行公务,0.8262797594070435,0.8495904207229614,0.8377729654312134,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
"你好,请问琴女士有什么性格特点呢?","琴,严苛刻苦，坚持秩序","琴,严苛刻苦，坚持秩序",1,1,1,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
神里绫华的元素属性是什么?,冰元素,"神里绫华,冰元素",0.6678543090820312,0.8680598735809326,0.7549088001251221,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
神里绫华是男人还是女人？,神里绫华是女性,神里绫华是女性,1,1,1,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
那维莱特先生是什么性格的人?,"那维莱特,绝对公正，孤独","那维莱特,深谋远虑，眼光高远",0.7151685953140259,0.7609879970550537,0.7373671531677246,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
七七女士是什么身份?,七七是僵尸,七七是僵尸,1,1,1,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
班尼特是男性还是女性？,班尼特是男性,班尼特是男性,1,1,1,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
菲米尼先生是什么性别？,菲米尼是男性,菲米尼是男性,1,1,1,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
卡维先生是什么性格的人?,"卡维,碍于面子，对破产的事避而不谈，乐观","卡维,碍于面子，对破产的事避而不谈",0.9686151146888733,0.9209779500961304,0.9441960453987122,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
五郎是男孩还是女孩？,五郎是男性,五郎是男性,1,1,1,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
卡维是什么职务?,卡维是破产的建筑设计师,卡维是枫丹十字的警探,0.7104417681694031,0.6996785402297974,0.7050191164016724,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
菲米尼先生是属于哪个国家的?,菲米尼来自枫丹,菲米尼来自枫丹,0.9999999403953552,0.9999999403953552,0.9999999403953552,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
行秋先生是什么性格?,"行秋,行侠仗义的侠客","行秋,行侠仗义的侠客",0.9999999403953552,0.9999999403953552,0.9999999403953552,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
鹿野院平藏会用哪种元素?,风元素,鹿野院平藏使用风元素,0.6455888748168945,0.9000170230865479,0.7518617510795593,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
早柚的工作是什么?,早柚是「终末番」里的忍者，特殊存在,早柚是鬼族，早柚是兼具智慧和美丽的事体,0.6449226140975952,0.6205862760543823,0.6325204372406006,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
九条裟罗女士能控制什么元素力?,雷元素,雷元素,1.0000001192092896,1.0000001192092896,1.0000001192092896,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
托马能控制什么元素力?,托马控制火元素,托马控制火元素,1,1,1,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
林尼先生的职责是什么?,林尼是魔术演员,林尼是魔术演员,1.0000001192092896,1.0000001192092896,1.0000001192092896,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
荒泷一斗先生从哪里来的?,荒泷一斗来自稻妻,荒泷一斗来自稻妻,1,1,1,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
久岐忍是什么身份?,久岐忍是帮派荒泷派的二把手,久岐忍是帮派荒泷派的二把手,1,1,1,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
莫娜的性格是什么?,"莫娜,朴素的生活，热爱占星术","莫娜,朴素的生活，热爱占星术",1,1,1,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
"枫原万叶先生,是什么性别呢?",枫原万叶是男性,枫原万叶是男性,1,1,1,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
温迪先生是什么性格?,"温迪,喜欢开玩笑的轻佻少年","温迪,玩火花",0.7625517845153809,0.6431796550750732,0.6977972984313965,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
夏洛蒂的元素是什么?,冰元素,好，夏洛蒂元素是冰元素,0.6909629702568054,0.8658682107925415,0.7685905694961548,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
九条裟罗用的是什么元素?,雷元素,九条裟罗使用雷元素,0.6099753379821777,0.8452364206314087,0.7085887789726257,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
"你好,请问林尼先生有什么性格特点呢?","林尼,潇洒浪漫，才华横溢，追求新奇感","林尼,潇洒浪漫的艺术家",0.8225812315940857,0.7379716634750366,0.7779828310012817,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
行秋的职业是什么?,行秋是飞云商会少爷,行秋，飞云商会少爷,0.9477014541625977,0.9477014541625977,0.9477014541625977,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
流浪者是什么性格?,"流浪者,清风般的存在，没有家人，没有目的地","流浪者,清风般的存在，没有家人，没有目的地",1,1,1,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
莱依拉的元素是什么?,冰元素,"莱依拉,元素冰",0.6487276554107666,0.785336971282959,0.7105255722999573,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
神里绫人的元素是什么?,水元素,神里绫人，水元素,0.6346198916435242,0.8415113687515259,0.7235669493675232,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
林尼的职责是什么?,林尼是魔术演员,林尼是魔术演员,1.0000001192092896,1.0000001192092896,1.0000001192092896,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
托马的元素是什么?,火元素,托马是岩元素,0.6547425389289856,0.8133059740066528,0.7254610061645508,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
夏沃蕾是男孩还是女孩？,夏沃蕾是女性,夏沃蕾是女性,1.0000001192092896,1.0000001192092896,1.0000001192092896,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
"你好,请问七七女士来自哪里?",七七来自璃月,"七七来自璃月
七七来自璃月",0.8512961864471436,0.8889475464820862,0.869714617729187,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
"雷泽先生,他是什么性别？",雷泽是男性,雷泽是男性,1,1,1,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
芭芭拉是什么身份?,芭芭拉是西风教会的祈礼牧师，蒙德城的偶像,班·西风游击队队长,0.668793797492981,0.5965278744697571,0.6305971741676331,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
"莱依拉女士,她是男孩还是女孩？",莱依拉是女性,莱依拉是女性,1,1,1,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
夜兰女士是做什么工作的?,夜兰是隶属总务司，神秘人物，常常出现在各种事件中，但身份与目的不明,夜兰是隶属总务司，神秘人物，常常出现在各种事件中，但身份与目的不明,1,1,1,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
达达利亚先生是做什么工作的?,达达利亚是愚人众执行官,达达利亚是教令院的书记官,0.7893743515014648,0.804436206817627,0.7968341112136841,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
白术能控制什么元素力?,白术控制草元素,白术控制草元素,1.0000001192092896,1.0000001192092896,1.0000001192092896,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
"罗莎莉亚女士,是什么性别呢?",罗莎莉亚是女性,罗莎莉亚是女性,1,1,1,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
"你好,请问柯莱女士来自哪里?",柯莱来自须弥,柯莱来自须弥,1,1,1,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
温迪什么元素?,风元素,温迪是风元素,0.7309473752975464,0.9172989726066589,0.8135887384414673,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
诺艾尔女士是属于哪个国家的?,诺艾尔来自蒙德,诺艾尔来自蒙德,0.9999999403953552,0.9999999403953552,0.9999999403953552,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
"琳妮特女士,是什么性别呢?",琳妮特是女性,琳妮特是女性,1,1,1,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
神里绫人用的是什么元素?,水元素,神里绫人使用水元素,0.6126008629798889,0.8387600183486938,0.7080597281455994,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
纳西妲什么性格?,宁静、明智、智慧、纯净,"纳西妲,宁静、明智、智慧、纯净",0.8430615663528442,0.9467114806175232,0.8918852210044861,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
请问莫娜的国籍是什么？,莫娜来自蒙德,莫娜来自蒙德,1,1,1,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
温迪的性格特点是啥?,喜欢开玩笑的轻佻少年,"好，温迪，性格特点
温迪,潇洒浪漫，才华横溢",0.5549554824829102,0.556912362575531,0.5559321641921997,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
请问五郎的性别是什么？,五郎是男性,五郎是男性,1,1,1,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
七七什么性别,七七是女性,七七是女性,1,1,1,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
"温迪先生,是什么性别呢?",温迪是男性,温迪是男性,1,1,1,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
菲谢尔女士是男孩还是女孩？,菲谢尔是女性,菲谢尔是女性,1,1,1,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
芭芭拉的职责是什么?,芭芭拉是西风教会的祈礼牧师，蒙德城的偶像,芭芭拉是西风教会的祈礼牧师，蒙德城的偶像,1,1,1,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
菲谢尔女士的职责是什么?,菲谢尔是断罪之皇女，有伙伴奥兹,菲谢尔是断罪之皇女，需要调查不明事件,0.7968814969062805,0.8523390293121338,0.8236778974533081,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
"凯亚先生,他是男孩还是女孩？",凯亚是男性,凯亚是男性,1,1,1,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
迪希雅的性格特征是什么?,"迪希雅,勇武凶悍，有价值的保镖选择。","迪希雅,勇武凶悍，有价值的保镖选择",0.9818472266197205,0.9701809883117676,0.975979208946228,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
芭芭拉女士是什么性格的人?,"芭芭拉,用努力与美好心情治愈人们","芭芭拉,用努力与美好心情治愈人们",0.9999998807907104,0.9999998807907104,0.9999998807907104,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
可莉女士的职业是什么?,可莉是西风骑士团火花骑士，自认为有宝物,可莉是西风骑士团火花骑士，自认为有宝物,0.9999999403953552,0.9999999403953552,0.9999999403953552,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
"丽莎女士,她是什么性别？",丽莎是女性,丽莎是女性,1,1,1,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
林尼先生会用哪种元素?,火元素,林尼使用火元素,0.7202232480049133,0.9127705693244934,0.8051452040672302,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
琴是男还是女啊,琴是女性,琴是女性,1,1,1,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
"你好,请问枫原万叶先生使用哪种元素?",风元素,枫原万叶使用风元素,0.6640401482582092,0.8614386916160583,0.749967634677887,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
"你好,请问菲谢尔有什么性格特点呢?","菲谢尔,有些幻想症的中二少女","菲谢尔,有些幻想症的中二少女",1,1,1,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
八重神子什么性格?,兼具智慧与美貌的大姐姐,"八重神子,兼具智慧与美貌的大姐姐",0.828992486000061,0.9518810510635376,0.8861968517303467,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
雷电将军是男孩还是女孩？,雷电将军是女性,雷电将军是女性,1,1,1,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
七七的性格是什么?,"七七,记忆力差，外表冰冷，需要遵循敕令。","七七,记忆力差，外表冰冷，需要遵循敕令。",1,1,1,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
钟离先生能控制什么元素力?,岩元素,"钟离控制岩元素
钟离,岩元素",0.6769415140151978,0.8355029821395874,0.7479105591773987,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
神里绫华是男还是女啊,神里绫华是女性,神里绫华是女性,1,1,1,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
请问钟离的身份是什么？,钟离是往生堂客卿，岩神,钟离是往生堂客卿，炼金术师,0.8336982727050781,0.8925673961639404,0.8621290922164917,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
"枫原万叶先生,他是什么性别？",枫原万叶是男性,枫原万叶是男性,1,1,1,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
"你好,请问琳妮特女士是做什么工作的?",琳妮特是魔术师林尼的助手,琳妮特是魔术师林尼的助手,0.9999999403953552,0.9999999403953552,0.9999999403953552,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
"艾尔海森先生,来自何方?",艾尔海森来自须弥,艾尔海森来自须弥,1,1,1,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
温迪先生来自哪个国家?,温迪来自蒙德,"温迪来自蒙德
温迪来自蒙德
温迪来自蒙德
温迪来自蒙德
温迪来自蒙德
温迪来自蒙德
温迪来自蒙德
温迪来自蒙德
温迪来自蒙德
温迪来自蒙德
温迪来自蒙德
温迪来自蒙德
温迪来自蒙德
温迪来自蒙德
温迪来自蒙德
温迪来自蒙德
温迪来自蒙德
温迪来自蒙德
温迪来自蒙德
温迪来自蒙德
温迪来自蒙德
温迪来自蒙德
温迪来自蒙德
温迪来自蒙德
温迪来自蒙德
温迪来自蒙德
温迪来自蒙德
温迪来自蒙德
温迪来自蒙德
温迪来自蒙德
温迪来自蒙德
温迪来自蒙德
温迪来自蒙德
温迪来自蒙德
温迪来自蒙德
温迪来自蒙德
温迪来自蒙德
温迪来自蒙德
温迪来自蒙德
温迪来自蒙德
温迪来自蒙德
温迪来自蒙德
温迪来自蒙德
温迪来自蒙德
温迪来自蒙德
温迪来自蒙德
温迪来自蒙德
温迪来自蒙德
温迪来自蒙德
温迪来自蒙德
温迪来自蒙德
温迪来自蒙德
温迪来自蒙德
温迪来自蒙德
温迪来自蒙德
温迪来自蒙德
温迪来自蒙德
温迪来自蒙德
温迪来自蒙德
温迪来自蒙德
温迪来自蒙德
温迪来自蒙德
温迪来自蒙德
温迪来自蒙德
温迪来自蒙德
温迪来自蒙德
温迪来自蒙德
温迪来自蒙德
温迪来自蒙德
温迪来自蒙德
温迪来自蒙德
温迪来自蒙德
温迪来自蒙德
温迪来自蒙德
温迪来自蒙德
温迪来自蒙德
温迪来自蒙德
温迪来自蒙德
温迪来自蒙德
温迪来自蒙德
温迪来自蒙德
温迪来自蒙德
温迪来自蒙德
温迪来自蒙德
温迪来自蒙德
温迪",0.5404602885246277,0.6957331895828247,0.6083452105522156,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
甘雨使用的元素是什么?,冰元素,甘雨元素，冰元素,0.766784131526947,0.8740131258964539,0.8168947696685791,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
"你好,请问九条裟罗女士是做什么工作的?",九条裟罗是负责治安事务的天领奉行大将,九条裟罗是负责治安事务的天领奉行大将,0.9999999403953552,0.9999999403953552,0.9999999403953552,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
阿贝多先生的职责是什么?,阿贝多是炼金术士,阿贝多是炼金术士,1,1,1,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
芙宁娜是什么身份?,芙宁娜是欧庇克莱歌剧院的大明星，水神,芙宁娜是欧庇克莱歌剧院的大明星，水神,0.9999999403953552,0.9999999403953552,0.9999999403953552,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
久岐忍女士会用哪种元素?,雷元素,"久岐忍使用雷元素
久岐忍用雷元素，雷元素",0.6220989227294922,0.7677837014198303,0.6873061656951904,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
枫原万叶是男人还是女人？,枫原万叶是男性,枫原万叶是男性,1,1,1,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
莫娜从哪里来的?,莫娜来自蒙德,莫娜来自蒙德,1,1,1,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
赛诺是什么性格?,严格执法，保护教令院的规矩,"赛诺,严格执法，保护教令院的规矩",0.8930255174636841,0.9652485847473145,0.9277336001396179,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
丽莎女士是什么性格的人?,"丽莎,喜欢挑逗人的魔法师大姐姐","丽莎,喜欢挑逗人的魔法师大姐姐",1.0000001192092896,1.0000001192092896,1.0000001192092896,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
刻晴的元素是什么?,雷元素,雷元素,1.0000001192092896,1.0000001192092896,1.0000001192092896,bert-base-chinese_L8_no-idf_version=0.3.12(hug_trans=4.46.3)
